uid,rank,covered,model
User453,,0,ranker
User453,,0,postRL
User463,,0,lm
User463,,0,ranker
User463,,0,postRL
User466,,0,lm
User466,,0,ranker
User466,,0,postRL
User468,,0,lm
User468,,0,ranker
User468,,0,postRL
User485,,0,lm
User485,,0,ranker
User485,,0,postRL
User488,,0,lm
User488,,0,ranker
User488,,0,postRL
User493,,0,lm
User493,,0,ranker
User493,,0,postRL
User5,115.0,1,lm
User5,115.0,1,ranker
User5,116.0,1,postRL
User511,,0,lm
User511,,0,ranker
User511,,0,postRL
User516,,0,lm
User516,,0,ranker
User516,,0,postRL
User520,84.0,1,lm
User520,81.0,1,ranker
User520,89.0,1,postRL
User521,,0,lm
User521,,0,ranker
User521,,0,postRL
User524,,0,lm
User524,,0,ranker
User524,,0,postRL
User53,,0,lm
User53,,0,ranker
User53,,0,postRL
User553,,0,lm
User553,,0,ranker
User553,,0,postRL
User559,,0,lm
User559,,0,ranker
User559,,0,postRL
User564,,0,lm
User564,,0,ranker
User564,,0,postRL
User568,,0,lm
User568,,0,ranker
User568,,0,postRL
User586,,0,lm
User586,,0,ranker
User586,,0,postRL
User590,,0,lm
User590,,0,ranker
User590,,0,postRL
User593,,0,lm
User593,,0,ranker
User593,,0,postRL
User595,,0,lm
User595,,0,ranker
User595,,0,postRL
User600,,0,lm
User600,,0,ranker
User600,,0,postRL
User607,,0,lm
User607,,0,ranker
User607,,0,postRL
User608,,0,lm
User608,,0,ranker
User608,,0,postRL
User611,,0,lm
User611,,0,ranker
User611,,0,postRL
User615,,0,lm
User615,,0,ranker
User615,,0,postRL
User620,,0,lm
User620,,0,ranker
User620,,0,postRL
User630,,0,lm
User630,,0,ranker
User630,,0,postRL
User636,,0,lm
User636,,0,ranker
User636,,0,postRL
User637,,0,lm
User637,,0,ranker
User637,,0,postRL
User641,,0,lm
User641,,0,ranker
User641,,0,postRL
User642,,0,lm
User642,,0,ranker
User642,,0,postRL
User648,,0,lm
User648,,0,ranker
User648,,0,postRL
User653,,0,lm
User653,,0,ranker
User653,,0,postRL
User655,,0,lm
User655,,0,ranker
User655,,0,postRL
User66,,0,lm
User66,,0,ranker
User66,,0,postRL
User669,,0,lm
User669,,0,ranker
User669,,0,postRL
User677,,0,lm
User677,,0,ranker
User677,,0,postRL
User678,46.0,1,lm
User678,51.0,1,ranker
User678,47.0,1,postRL
User684,,0,lm
User684,,0,ranker
User684,,0,postRL
User688,,0,lm
User688,,0,ranker
User688,,0,postRL
User689,,0,lm
User689,,0,ranker
User689,,0,postRL
User69,,0,lm
User69,,0,ranker
User69,,0,postRL
User691,,0,lm
User691,,0,ranker
User691,,0,postRL
User696,,0,lm
User696,,0,ranker
User696,,0,postRL
User698,,0,lm
User698,,0,ranker
User698,,0,postRL
User702,47.0,1,lm
User702,57.0,1,ranker
User702,51.0,1,postRL
User708,,0,lm
User708,,0,ranker
User708,,0,postRL
User716,,0,lm
User716,,0,ranker
User716,,0,postRL
User721,,0,lm
User721,,0,ranker
User721,,0,postRL
User725,,0,lm
User725,,0,ranker
User725,,0,postRL
User727,,0,lm
User727,,0,ranker
User727,,0,postRL
User728,,0,lm
User728,,0,ranker
User728,,0,postRL
User73,,0,lm
User73,,0,ranker
User73,,0,postRL
User732,,0,lm
User732,,0,ranker
User732,,0,postRL
User741,9.0,1,lm
User741,2.0,1,ranker
User741,6.0,1,postRL
User745,,0,lm
User745,,0,ranker
User745,,0,postRL
User748,,0,lm
User748,,0,ranker
User748,,0,postRL
User759,,0,lm
User759,,0,ranker
User759,,0,postRL
User760,,0,lm
User760,,0,ranker
User760,,0,postRL
User761,,0,lm
User761,,0,ranker
User761,,0,postRL
User763,,0,lm
User763,,0,ranker
User763,,0,postRL
User764,,0,lm
User764,,0,ranker
User764,,0,postRL
User770,,0,lm
User770,,0,ranker
User770,,0,postRL
User771,,0,lm
User771,,0,ranker
User771,,0,postRL
User778,85.0,1,lm
User778,95.0,1,ranker
User778,87.0,1,postRL
User781,,0,lm
User781,,0,ranker
User781,,0,postRL
User782,,0,lm
User782,,0,ranker
User782,,0,postRL
User785,13.0,1,lm
User785,1.0,1,ranker
User785,9.0,1,postRL
User787,,0,lm
User787,,0,ranker
User787,,0,postRL
User790,,0,lm
User790,,0,ranker
User790,,0,postRL
User795,7.0,1,lm
User795,9.0,1,ranker
User795,6.0,1,postRL
User799,,0,lm
User799,,0,ranker
User799,,0,postRL
User801,,0,lm
User801,,0,ranker
User801,,0,postRL
User806,,0,lm
User806,,0,ranker
User806,,0,postRL
User807,,0,lm
User807,,0,ranker
User807,,0,postRL
User810,,0,lm
User810,,0,ranker
User810,,0,postRL
User813,,0,lm
User813,,0,ranker
User813,,0,postRL
User829,,0,lm
User829,,0,ranker
User829,,0,postRL
User840,,0,lm
User840,,0,ranker
User840,,0,postRL
User841,,0,lm
User841,,0,ranker
User841,,0,postRL
User842,173.0,1,lm
User842,370.0,1,ranker
User842,188.0,1,postRL
User844,74.0,1,lm
User844,32.0,1,ranker
User844,71.0,1,postRL
User846,,0,lm
User846,,0,ranker
User846,,0,postRL
User856,,0,lm
User856,,0,ranker
User856,,0,postRL
