uid,rank,covered,model
User453,,0,ranker
User453,,0,preRL
User463,,0,lm
User463,,0,ranker
User463,,0,preRL
User466,,0,lm
User466,,0,ranker
User466,,0,preRL
User468,,0,lm
User468,,0,ranker
User468,,0,preRL
User485,,0,lm
User485,,0,ranker
User485,,0,preRL
User488,,0,lm
User488,,0,ranker
User488,,0,preRL
User493,,0,lm
User493,,0,ranker
User493,,0,preRL
User5,120.0,1,lm
User5,125.0,1,ranker
User5,40.0,1,preRL
User511,,0,lm
User511,,0,ranker
User511,,0,preRL
User516,,0,lm
User516,,0,ranker
User516,,0,preRL
User520,112.0,1,lm
User520,79.0,1,ranker
User520,68.0,1,preRL
User521,,0,lm
User521,,0,ranker
User521,,0,preRL
User524,,0,lm
User524,,0,ranker
User524,,0,preRL
User53,,0,lm
User53,,0,ranker
User53,,0,preRL
User553,,0,lm
User553,,0,ranker
User553,,0,preRL
User559,,0,lm
User559,,0,ranker
User559,,0,preRL
User564,,0,lm
User564,,0,ranker
User564,,0,preRL
User568,,0,lm
User568,,0,ranker
User568,,0,preRL
User586,,0,lm
User586,,0,ranker
User586,,0,preRL
User590,,0,lm
User590,,0,ranker
User590,,0,preRL
User593,,0,lm
User593,,0,ranker
User593,,0,preRL
User595,,0,lm
User595,,0,ranker
User595,,0,preRL
User600,,0,lm
User600,,0,ranker
User600,,0,preRL
User607,,0,lm
User607,,0,ranker
User607,,0,preRL
User608,,0,lm
User608,,0,ranker
User608,,0,preRL
User611,,0,lm
User611,,0,ranker
User611,,0,preRL
User615,,0,lm
User615,,0,ranker
User615,,0,preRL
User620,,0,lm
User620,,0,ranker
User620,,0,preRL
User630,,0,lm
User630,,0,ranker
User630,,0,preRL
User636,,0,lm
User636,,0,ranker
User636,,0,preRL
User637,,0,lm
User637,,0,ranker
User637,,0,preRL
User641,,0,lm
User641,,0,ranker
User641,,0,preRL
User642,,0,lm
User642,,0,ranker
User642,,0,preRL
User648,,0,lm
User648,,0,ranker
User648,,0,preRL
User653,,0,lm
User653,,0,ranker
User653,,0,preRL
User655,,0,lm
User655,,0,ranker
User655,,0,preRL
User66,,0,lm
User66,,0,ranker
User66,,0,preRL
User669,,0,lm
User669,,0,ranker
User669,,0,preRL
User677,,0,lm
User677,,0,ranker
User677,,0,preRL
User678,100.0,1,lm
User678,51.0,1,ranker
User678,54.0,1,preRL
User684,,0,lm
User684,,0,ranker
User684,,0,preRL
User688,,0,lm
User688,,0,ranker
User688,,0,preRL
User689,,0,lm
User689,,0,ranker
User689,,0,preRL
User69,,0,lm
User69,,0,ranker
User69,,0,preRL
User691,,0,lm
User691,,0,ranker
User691,,0,preRL
User696,,0,lm
User696,,0,ranker
User696,,0,preRL
User698,,0,lm
User698,,0,ranker
User698,,0,preRL
User702,9.0,1,lm
User702,11.0,1,ranker
User702,61.0,1,preRL
User708,,0,lm
User708,,0,ranker
User708,,0,preRL
User716,,0,lm
User716,,0,ranker
User716,,0,preRL
User721,,0,lm
User721,,0,ranker
User721,,0,preRL
User725,,0,lm
User725,,0,ranker
User725,,0,preRL
User727,,0,lm
User727,,0,ranker
User727,,0,preRL
User728,,0,lm
User728,,0,ranker
User728,,0,preRL
User73,,0,lm
User73,,0,ranker
User73,,0,preRL
User732,,0,lm
User732,,0,ranker
User732,,0,preRL
User741,7.0,1,lm
User741,4.0,1,ranker
User741,4.0,1,preRL
User745,,0,lm
User745,,0,ranker
User745,,0,preRL
User748,,0,lm
User748,,0,ranker
User748,,0,preRL
User759,,0,lm
User759,,0,ranker
User759,,0,preRL
User760,,0,lm
User760,,0,ranker
User760,,0,preRL
User761,,0,lm
User761,,0,ranker
User761,,0,preRL
User763,,0,lm
User763,,0,ranker
User763,,0,preRL
User764,,0,lm
User764,,0,ranker
User764,,0,preRL
User770,,0,lm
User770,,0,ranker
User770,,0,preRL
User771,,0,lm
User771,,0,ranker
User771,,0,preRL
User778,71.0,1,lm
User778,93.0,1,ranker
User778,105.0,1,preRL
User781,,0,lm
User781,,0,ranker
User781,,0,preRL
User782,,0,lm
User782,,0,ranker
User782,,0,preRL
User785,22.0,1,lm
User785,11.0,1,ranker
User785,5.0,1,preRL
User787,,0,lm
User787,,0,ranker
User787,,0,preRL
User790,,0,lm
User790,,0,ranker
User790,,0,preRL
User795,15.0,1,lm
User795,11.0,1,ranker
User795,42.0,1,preRL
User799,,0,lm
User799,,0,ranker
User799,,0,preRL
User801,,0,lm
User801,,0,ranker
User801,,0,preRL
User806,,0,lm
User806,,0,ranker
User806,,0,preRL
User807,,0,lm
User807,,0,ranker
User807,,0,preRL
User810,,0,lm
User810,,0,ranker
User810,,0,preRL
User813,,0,lm
User813,,0,ranker
User813,,0,preRL
User829,,0,lm
User829,,0,ranker
User829,,0,preRL
User840,,0,lm
User840,,0,ranker
User840,,0,preRL
User841,,0,lm
User841,,0,ranker
User841,,0,preRL
User842,88.0,1,lm
User842,210.0,1,ranker
User842,64.0,1,preRL
User844,48.0,1,lm
User844,42.0,1,ranker
User844,50.0,1,preRL
User846,,0,lm
User846,,0,ranker
User846,,0,preRL
User856,,0,lm
User856,,0,ranker
User856,,0,preRL
User863,,0,lm
User863,,0,ranker
User863,,0,preRL
User868,101.0,1,lm
User868,113.0,1,ranker
User868,90.0,1,preRL
User876,,0,lm
User876,,0,ranker
User876,,0,preRL
User88,,0,lm
User88,,0,ranker
User88,,0,preRL
User887,,0,lm
User887,,0,ranker
User887,,0,preRL
User892,,0,lm
User892,,0,ranker
User892,,0,preRL
User893,,0,lm
User893,,0,ranker
User893,,0,preRL
User898,,0,lm
User898,,0,ranker
User898,,0,preRL
User90,,0,lm
User90,,0,ranker
User90,,0,preRL
User908,,0,lm
User908,,0,ranker
User908,,0,preRL
User914,48.0,1,lm
User914,92.0,1,ranker
User914,97.0,1,preRL
User915,,0,lm
User915,,0,ranker
User915,,0,preRL
User916,,0,lm
User916,,0,ranker
User916,,0,preRL
User920,,0,lm
User920,,0,ranker
User920,,0,preRL
User931,,0,lm
User931,,0,ranker
User931,,0,preRL
User936,47.0,1,lm
User936,23.0,1,ranker
User936,5.0,1,preRL
User937,,0,lm
User937,,0,ranker
User937,,0,preRL
User941,,0,lm
User941,,0,ranker
User941,,0,preRL
User951,77.0,1,lm
User951,121.0,1,ranker
User951,98.0,1,preRL
User958,69.0,1,lm
User958,52.0,1,ranker
User958,50.0,1,preRL
User959,72.0,1,lm
User959,43.0,1,ranker
User959,44.0,1,preRL
User96,1130.0,1,lm
User96,5977.0,1,ranker
User96,2159.0,1,preRL
User961,,0,lm
User961,,0,ranker
User961,,0,preRL
User966,,0,lm
User966,,0,ranker
User966,,0,preRL
User967,,0,lm
User967,,0,ranker
User967,,0,preRL
